|continent    |date      |cases_per_million|countries_in_continent|
|-------------|----------|-----------------|----------------------|
|Europe       |2020-01-05|0.0013379515     |51                    |
|             |2020-01-05|0.0002875157     |12                    |
|Asia         |2020-01-05|0.0002132479     |47                    |
|Africa       |2020-01-05|0                |57                    |
|North America|2020-01-05|0                |41                    |
|Oceania      |2020-01-05|0                |24                    |
|South America|2020-01-05|0                |14                    |
|Europe       |2020-01-06|0.0013379515     |51                    |
|             |2020-01-06|0.0002875157     |12                    |
|Asia         |2020-01-06|0.0002132479     |47                    |
|Africa       |2020-01-06|0                |57                    |
|North America|2020-01-06|0                |41                    |
|Oceania      |2020-01-06|0                |24                    |
|South America|2020-01-06|0                |14                    |
|Europe       |2020-01-07|0.0013379515     |51                    |
|             |2020-01-07|0.0002875157     |12                    |
|Asia         |2020-01-07|0.0002132479     |47                    |
|Africa       |2020-01-07|0                |57                    |
|North America|2020-01-07|0                |41                    |
|Oceania      |2020-01-07|0                |24                    |
|South America|2020-01-07|0                |14                    |
|Europe       |2020-01-08|0.0013379515     |51                    |
|             |2020-01-08|0.0002875157     |12                    |
|Asia         |2020-01-08|0.0002132479     |47                    |
|Africa       |2020-01-08|0                |57                    |
|North America|2020-01-08|0                |41                    |
|Oceania      |2020-01-08|0                |24                    |
|South America|2020-01-08|0                |14                    |
|Europe       |2020-01-09|0.0013379515     |51                    |
|             |2020-01-09|0.0002875157     |12                    |
|Asia         |2020-01-09|0.0002132479     |47                    |
|Africa       |2020-01-09|0                |57                    |
|North America|2020-01-09|0                |41                    |
|Oceania      |2020-01-09|0                |24                    |
|South America|2020-01-09|0                |14                    |
|Europe       |2020-01-10|0.0013379515     |51                    |
|             |2020-01-10|0.0002875157     |12                    |
|Asia         |2020-01-10|0.0002132479     |47                    |
|Africa       |2020-01-10|0                |57                    |
|North America|2020-01-10|0                |41                    |
|Oceania      |2020-01-10|0                |24                    |
|South America|2020-01-10|0                |14                    |
|Europe       |2020-01-11|0.0013379515     |51                    |
|             |2020-01-11|0.0002875157     |12                    |
|Asia         |2020-01-11|0.0002132479     |47                    |
|Africa       |2020-01-11|0                |57                    |
|North America|2020-01-11|0                |41                    |
|Oceania      |2020-01-11|0                |24                    |
|South America|2020-01-11|0                |14                    |
