|income_band  |date      |death_rate   |
|-------------|----------|-------------|
|Middle Income|2020-01-01|             |
|Middle Income|2020-01-02|             |
|Middle Income|2020-01-03|             |
|Middle Income|2020-01-04|             |
|High Income  |2020-01-05|200          |
|Middle Income|2020-01-05|100          |
|Low Income   |2020-01-05|             |
|High Income  |2020-01-06|200          |
|Middle Income|2020-01-06|100          |
|Low Income   |2020-01-06|             |
|High Income  |2020-01-07|200          |
|Middle Income|2020-01-07|100          |
|Low Income   |2020-01-07|             |
|High Income  |2020-01-08|200          |
|Middle Income|2020-01-08|100          |
|Low Income   |2020-01-08|             |
|High Income  |2020-01-09|200          |
|Middle Income|2020-01-09|100          |
|Low Income   |2020-01-09|             |
|High Income  |2020-01-10|200          |
|Middle Income|2020-01-10|100          |
|Low Income   |2020-01-10|             |
|High Income  |2020-01-11|200          |
|Middle Income|2020-01-11|100          |
|Low Income   |2020-01-11|             |
|High Income  |2020-01-12|14.4329896907|
|Middle Income|2020-01-12|5.4347826087 |
|Low Income   |2020-01-12|             |
|High Income  |2020-01-13|14.4329896907|
|Middle Income|2020-01-13|5.4347826087 |
|Low Income   |2020-01-13|             |
|High Income  |2020-01-14|14.4329896907|
|Middle Income|2020-01-14|5.4347826087 |
|Low Income   |2020-01-14|             |
|High Income  |2020-01-15|14.4329896907|
|Middle Income|2020-01-15|5.4347826087 |
|Low Income   |2020-01-15|             |
|High Income  |2020-01-16|14.4329896907|
|Middle Income|2020-01-16|5.4347826087 |
|Low Income   |2020-01-16|             |
|High Income  |2020-01-17|14.4329896907|
|Middle Income|2020-01-17|5.4347826087 |
|Low Income   |2020-01-17|             |
|High Income  |2020-01-18|14.4329896907|
|Middle Income|2020-01-18|5.4347826087 |
|Low Income   |2020-01-18|             |
|High Income  |2020-01-19|6.3604240283 |
|Middle Income|2020-01-19|3.3582089552 |
|Low Income   |2020-01-19|             |
|High Income  |2020-01-20|6.3604240283 |
|Middle Income|2020-01-20|3.3582089552 |
|Low Income   |2020-01-20|             |
|High Income  |2020-01-21|6.3604240283 |
|Middle Income|2020-01-21|3.3582089552 |
|Low Income   |2020-01-21|             |
|High Income  |2020-01-22|6.3604240283 |
|Middle Income|2020-01-22|3.3582089552 |
|Low Income   |2020-01-22|             |
|High Income  |2020-01-23|6.3604240283 |
|Middle Income|2020-01-23|3.3582089552 |
|Low Income   |2020-01-23|             |
