|continent|location                     |peak_date |peak_cases|
|---------|-----------------------------|----------|----------|
|         |Asia                         |2024-08-05|          |
|         |Europe                       |2024-08-05|          |
|         |European Union (27)          |2020-12-04|          |
|         |High-income countries        |2020-12-02|          |
|         |Low-income countries         |2021-02-15|          |
|         |Lower-middle-income countries|2021-01-12|          |
|         |Oceania                      |2024-08-05|          |
|         |Upper-middle-income countries|2020-12-15|          |
|         |World                        |2024-08-05|          |
|         |Asia                         |2024-08-05|          |
|         |Europe                       |2024-08-05|          |
|         |European Union (27)          |2020-12-04|          |
|         |High-income countries        |2020-12-02|          |
|         |Low-income countries         |2021-02-15|          |
|         |Lower-middle-income countries|2021-01-12|          |
|         |Oceania                      |2024-08-05|          |
|         |Upper-middle-income countries|2020-12-15|          |
|         |World                        |2024-08-05|          |
|         |North America                |2022-01-16|6,582,043 |
|         |North America                |2022-01-16|6,582,043 |
|         |South America                |2022-01-30|2,570,599 |
|         |South America                |2022-01-30|2,570,599 |
|         |Africa                       |2022-01-09|316,014   |
|         |Africa                       |2022-01-09|316,014   |
|Africa   |Burundi                      |2023-07-16|          |
|Africa   |Equatorial Guinea            |2022-03-20|          |
|Africa   |Liberia                      |2023-08-13|          |
|Africa   |Malawi                       |2022-11-06|          |
|Africa   |Mauritania                   |2023-02-12|          |
|Africa   |Mayotte                      |2021-05-23|          |
|Africa   |Western Sahara               |2022-04-20|          |
|Africa   |Zimbabwe                     |2023-07-30|          |
|Africa   |Burundi                      |2023-07-16|          |
|Africa   |Equatorial Guinea            |2022-03-20|          |
|Africa   |Liberia                      |2023-08-13|          |
|Africa   |Malawi                       |2022-11-06|          |
|Africa   |Mauritania                   |2023-02-12|          |
|Africa   |Mayotte                      |2021-05-23|          |
|Africa   |Western Sahara               |2022-04-20|          |
|Africa   |Zimbabwe                     |2023-07-30|          |
|Africa   |South Africa                 |2021-12-19|162,987   |
|Africa   |South Africa                 |2021-12-19|162,987   |
|Africa   |Tunisia                      |2022-01-23|66,015    |
|Africa   |Tunisia                      |2022-01-23|66,015    |
|Africa   |Morocco                      |2021-08-15|64,784    |
|Africa   |Morocco                      |2021-08-15|64,784    |
|Africa   |Reunion                      |2022-01-30|46,914    |
|Africa   |Reunion                      |2022-01-30|46,914    |
|Africa   |Botswana                     |2022-02-27|41,830    |
|Africa   |Botswana                     |2022-02-27|41,830    |
|Africa   |Ethiopia                     |2022-01-02|28,590    |
|Africa   |Ethiopia                     |2022-01-02|28,590    |
|Africa   |Mozambique                   |2022-01-02|26,860    |
|Africa   |Mozambique                   |2022-01-02|26,860    |
|Africa   |Zambia                       |2022-01-02|26,367    |
|Africa   |Zambia                       |2022-01-02|26,367    |
|Africa   |Libya                        |2022-02-06|26,333    |
|Africa   |Libya                        |2022-02-06|26,333    |
|Africa   |Uganda                       |2021-08-22|21,653    |
|Africa   |Uganda                       |2021-08-22|21,653    |
|Africa   |Tanzania                     |2021-08-08|20,607    |
|Africa   |Tanzania                     |2021-08-08|20,607    |
|Africa   |Mauritius                    |2022-02-20|19,687    |
|Africa   |Mauritius                    |2022-02-20|19,687    |
|Africa   |Kenya                        |2021-12-26|19,023    |
|Africa   |Kenya                        |2021-12-26|19,023    |
|Africa   |Egypt                        |2022-02-06|15,872    |
|Africa   |Egypt                        |2022-02-06|15,872    |
|Africa   |Algeria                      |2022-01-30|14,774    |
|Africa   |Algeria                      |2022-01-30|14,774    |
|Africa   |Nigeria                      |2021-12-26|12,531    |
|Africa   |Nigeria                      |2021-12-26|12,531    |
|Africa   |Namibia                      |2021-06-27|11,967    |
|Africa   |Namibia                      |2021-06-27|11,967    |
|Africa   |Angola                       |2022-01-02|11,256    |
|Africa   |Angola                       |2022-01-02|11,256    |
|Africa   |Rwanda                       |2021-07-25|10,060    |
|Africa   |Rwanda                       |2021-07-25|10,060    |
|Africa   |Cameroon                     |2021-03-21|8,681     |
|Africa   |Cameroon                     |2021-03-21|8,681     |
|Africa   |Cote d'Ivoire                |2022-01-02|7,968     |
|Africa   |Cote d'Ivoire                |2022-01-02|7,968     |
