|country                         |total_cases    |total_deaths |
|--------------------------------|---------------|-------------|
|Afghanistan                     |245,988,981    |9,482,547    |
|Africa                          |14,616,886,098 |306,955,815  |
|Albania                         |355,635,062    |4,320,183    |
|Algeria                         |321,430,718    |8,409,268    |
|American Samoa                  |6,894,077      |28,209       |
|Andorra                         |49,036,941     |207,828      |
|Angola                          |114,441,477    |2,219,488    |
|Anguilla                        |3,572,140      |10,771       |
|Antigua and Barbuda             |8,957,640      |154,832      |
|Argentina                       |10,812,079,692 |161,350,498  |
|Armenia                         |515,749,237    |10,181,877   |
|Aruba                           |44,492,474     |295,867      |
|Asia                            |252,167,317,226|1,790,404,880|
|Australia                       |9,324,106,040  |18,034,759   |
|Austria                         |5,308,511,352  |25,176,950   |
|Azerbaijan                      |918,519,664    |11,514,202   |
|Bahamas                         |41,028,740     |928,279      |
|Bahrain                         |712,153,087    |1,849,571    |
|Bangladesh                      |2,354,357,374  |35,158,810   |
|Barbados                        |94,625,816     |535,680      |
|Belarus                         |1,100,835,696  |7,985,375    |
|Belgium                         |4,751,573,368  |43,290,916   |
|Belize                          |70,481,110     |790,792      |
|Benin                           |31,175,131     |202,043      |
|Bermuda                         |17,579,130     |163,391      |
|Bhutan                          |54,379,267     |18,963       |
|Bolivia                         |1,220,940,503  |27,792,304   |
|Bonaire Sint Eustatius and Saba |11,062,262     |41,978       |
|Bosnia and Herzegovina          |453,575,791    |18,695,486   |
|Botswana                        |342,089,337    |3,108,561    |
|Brazil                          |40,274,470,410 |845,533,502  |
|British Virgin Islands          |7,225,789      |65,850       |
|Brunei                          |245,025,520    |144,064      |
|Bulgaria                        |1,351,327,259  |42,517,430   |
|Burkina Faso                    |25,855,702     |449,478      |
|Burundi                         |51,054,980     |17,515       |
|Cambodia                        |150,470,493    |3,306,720    |
|Cameroon                        |147,987,814    |2,377,676    |
|Canada                          |4,665,470,344  |57,278,070   |
|Cape Verde                      |70,327,478     |494,211      |
|Cayman Islands                  |28,060,774     |32,706       |
|Central African Republic        |18,917,072     |150,648      |
|Chad                            |9,132,587      |262,092      |
|Chile                           |5,071,673,512  |69,873,310   |
|China                           |59,789,650,705 |79,278,696   |
|Colombia                        |7,459,792,950  |173,349,663  |
|Comoros                         |9,766,017      |202,313      |
|Congo                           |29,060,905     |450,748      |
|Cook Islands                    |5,782,940      |1,381        |
|Costa Rica                      |1,208,420,282  |10,401,369   |
|Cote d'Ivoire                   |103,139,690    |944,498      |
|Croatia                         |1,308,075,128  |19,492,829   |
|Cuba                            |1,194,102,200  |9,292,322    |
|Curacao                         |46,595,589     |316,089      |
|Cyprus                          |597,523,424    |1,340,166    |
|Czechia                         |4,853,321,180  |50,455,402   |
|Democratic Republic of Congo    |107,581,669    |1,788,259    |
|Denmark                         |3,189,166,514  |8,572,618    |
|Djibouti                        |19,830,359     |240,275      |
|Dominica                        |14,792,550     |70,221       |
|Dominican Republic              |737,424,053    |5,841,089    |
|East Timor                      |25,406,762     |145,220      |
|Ecuador                         |1,129,532,178  |44,808,267   |
|Egypt                           |597,657,337    |29,913,871   |
|El Salvador                     |216,443,932    |5,054,695    |
|England                         |0              |0            |
|Equatorial Guinea               |20,268,816     |233,325      |
|Eritrea                         |11,433,902     |106,685      |
|Estonia                         |595,256,509    |3,041,614    |
|Eswatini                        |81,278,870     |1,667,378    |
|Ethiopia                        |576,867,536    |8,901,249    |
|Europe                          |236,756,684,151|2,361,106,039|
|European Union (27)             |171,330,559,623|1,427,055,363|
|Falkland Islands                |1,582,404      |0            |
|Faroe Islands                   |32,391,024     |26,950       |
|Fiji                            |72,061,702     |918,130      |
|Finland                         |1,315,927,764  |8,563,226    |
|France                          |35,276,866,268 |197,522,787  |
|French Guiana                   |100,523,548    |460,068      |
|French Polynesia                |82,952,177     |728,384      |
|Gabon                           |56,580,610     |358,686      |
|Gambia                          |14,897,504     |444,858      |
|Georgia                         |1,848,108,631  |18,365,088   |
|Germany                         |33,383,624,547 |190,391,817  |
|Ghana                           |205,995,995    |1,723,658    |
|Gibraltar                       |20,400,875     |136,291      |
|Greece                          |4,684,036,377  |37,489,440   |
|Greenland                       |11,269,560     |18,921       |
|Grenada                         |18,191,399     |240,023      |
|Guadeloupe                      |187,988,462    |1,103,724    |
|Guam                            |49,529,225     |445,185      |
|Guatemala                       |1,216,081,464  |22,689,871   |
|Guernsey                        |30,258,274     |66,364       |
|Guinea                          |46,803,066     |529,269      |
|Guinea-Bissau                   |10,695,842     |204,752      |
|Guyana                          |74,949,866     |1,409,632    |
|Haiti                           |39,704,793     |1,011,506    |
|High-income countries           |393,562,796,886|3,303,895,414|
|Honduras                        |543,796,642    |13,403,430   |
|Hong Kong                       |0              |0            |
|Hungary                         |2,273,887,439  |55,158,506   |
|Iceland                         |187,751,042    |162,936      |
|India                           |52,079,485,202 |636,656,068  |
|Indonesia                       |7,173,893,604  |183,035,743  |
|Iran                            |8,497,242,171  |175,336,887  |
|Iraq                            |2,866,612,600  |32,083,884   |
|Ireland                         |1,682,470,680  |10,364,137   |
|Isle of Man                     |35,658,250     |129,483      |
|Israel                          |4,690,246,037  |14,041,253   |
|Italy                           |23,516,696,786 |226,781,854  |
|Jamaica                         |162,293,596    |3,667,782    |
|Japan                           |24,572,158,686 |60,353,535   |
|Jersey                          |59,890,918     |173,761      |
